Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
43	19558	6.06	27	38	27	44.1	25.4	36
42	2996	4.99	15	57	64	22	56.2	63.3
41	1835	5.07	66	53	66	67.2	57.4	62.3
40	1550	6	35	49	37	33.7	55.1	35.8
39	1518	5.81	56	49	35	54.7	56.2	36.9
38	680	3.49	47	66	62	44.9	62.4	62.7
37	228	4.59	61	80	27	60.1	80.4	29
36	75	3.01	27	58	20	28	58.7	20.4
35	74	2.97	67	49	56	65.9	47.6	57.7
34	37	3.33	40	25	16	39.3	25.3	16
33	21	2.99	59	62	60	60.1	61.4	61.3
32	19	2.98	44	92	30	45	90.3	29.8
31	19	3.21	53	99	44	53.3	99.2	45.2
30	10	2.61	64	59	24	64.5	59.4	23.8
29	10	3.1	36	58	73	36	58.1	72.5
28	9	2.58	51	25	16	51.1	25.3	16.1
27	9	2.69	42	48	67	41.6	47.4	67.1
26	9	2.55	56	42	15	56.4	42.1	15.4
25	8	2.56	51	89	33	50.1	89.1	32.5
24	7	2.72	74	77	42	73.7	77.4	42.1
23	6	2.66	42	69	32	42.2	69	31.8
22	6	2.44	30	82	30	30	81.5	30
21	6	2.65	51	62	70	50.5	62.3	70.3
20	5	2.54	78	55	56	78	54.8	56.6
19	5	2.53	71	60	46	71	60.2	46
18	4	2.38	49	64	35	49.3	64.2	35.5
17	4	2.81	32	59	16	32.5	59.5	16
16	3	2.63	63	60	73	62.3	59.7	73
15	2	2.5	70	54	49	69.5	54	49
14	2	2.34	72	80	46	72.5	79.5	46
13	2	2.46	59	60	32	58.5	60	32
12	1	2.3	72	77	50	72	77	50
11	1	2.32	13	61	41	13	61	41
10	1	2.35	69	53	55	69	53	55
9	1	2.36	65	14	37	65	14	37
8	1	2.32	34	58	36	34	58	36
7	1	2.33	67	15	36	67	15	36
6	1	2.43	54	88	61	54	88	61
5	1	2.43	52	89	61	52	89	61
4	1	2.31	47	49	25	47	49	25
3	1	2.41	65	62	71	65	62	71
2	1	2.39	37	41	16	37	41	16
1	1	2.42	30	46	74	30	46	74
