Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
41	43712	8.78	26	38	28	40.9	35.6	38.7
40	693	4.91	66	60	61	69	58.9	62
39	478	4.34	56	42	15	51.5	43	16.4
38	163	4.32	44	89	31	44.4	88.9	30.2
37	150	4.22	45	33	14	46.2	34.1	17
36	128	3.33	42	69	35	44.3	68.2	35.6
35	125	3.7	37	42	15	37.1	40.7	14.3
34	109	5.31	62	80	28	62	79.7	28.3
33	74	3.86	22	83	42	18.7	82.6	42.2
32	68	3.03	64	67	51	65.1	66.1	50.5
31	67	3.31	27	75	23	26	75.3	21.1
30	59	3.63	64	43	11	63.6	42	9.53
29	53	3.54	78	58	52	78.3	58	51
28	38	3.08	34	62	40	33.8	62.2	40.7
27	20	3.05	41	42	66	41.1	41.8	66.6
26	18	3.12	30	81	28	29.7	81.3	29.1
25	13	2.86	38	53	59	37.8	53.4	58.6
24	10	2.69	42	51	63	42.6	50.7	63.5
23	10	2.91	64	59	73	63.7	59	72.5
22	9	2.54	58	61	64	58.3	60.8	64.1
21	9	2.84	72	81	47	71.7	81.3	45.9
20	6	2.6	43	64	66	43.3	64	65.5
19	6	2.62	33	48	14	33	48	13.5
18	3	2.41	68	73	48	68	73	48
17	3	2.44	16	77	47	16	77.3	47.3
16	3	2.36	68	73	17	68	73.7	17.3
15	3	2.58	72	48	68	72.6	48.3	68
14	2	2.59	47	80	30	47	80.5	30
13	2	2.49	77	71	50	77	71	49.5
12	2	2.41	60	71	23	60.5	70.5	22.5
11	2	2.62	42	55	17	42	54.5	17
10	2	2.38	67	44	17	67	44	17.5
9	2	2.63	45	51	5	45.5	51	5
8	1	2.36	54	100	45	54	100	45
7	1	2.69	52	99	45	52	99	45
6	1	2.35	72	53	51	72	53	51
5	1	2.64	74	75	51	74	75	51
4	1	2.42	60	73	24	60	73	24
3	1	2.33	71	65	56	71	65	56
2	1	2.56	20	51	61	20	51	61
1	1	2.34	71	41	20	71	41	20
