,Average of BOLD response for cluster 0,Standard Deviation of BOLD response for cluster 0,Average of BOLD response for cluster 1,Standard Deviation of BOLD response for cluster 1,Average of BOLD response for cluster 2,Standard Deviation of BOLD response for cluster 2,Average of BOLD response for cluster 3,Standard Deviation of BOLD response for cluster 3,Average of BOLD response for cluster 4,Standard Deviation of BOLD response for cluster 4,Average of BOLD response for cluster 5,Standard Deviation of BOLD response for cluster 5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000134958304156,0.000521525406489,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00092213025559,0.000709485890969,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000248568797513,0.000742302357696,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000461900986091,0.000787599103779,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000409459683149,0.000545721999186,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88705165887e-05,0.000526957307409,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000354001018378,0.000673183164915,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117355692895,0.000807211048432,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102152460814,0.000727530702828,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00210496292401,0.000668077786901,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00108716607164,0.000634745978891,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000483851036079,0.000538742475667,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000688356983242,0.000709096889913,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51992987891e-05,0.000827190111617,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31126274164e-05,0.000797542232387,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000657958541935,0.00069134456935,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00108362319257,0.000721537844759,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00103261953683,0.00067819168447,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.12972063101e-05,0.000686170257744,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00179391958511,0.000633745718271,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00142284678495,0.000678828272823,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000579778496534,0.000756817564881,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000950225284703,0.000850865558192,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000695955559653,0.000545521348318,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.41560599315e-05,0.000599274715201,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000100850589314,0.000636842863122,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00142164238413,0.000676309295891,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001622192534,0.000719494417043,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000477657289229,0.000602785024523,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000261244588122,0.000752663186356,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000400906981236,0.000755406101678,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037289511529,0.000796355710155,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017165956144,0.000534310189078,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000279139624937,0.000584981813704,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792630349984,0.000845076456856,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00113264428228,0.000875865938846,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00117779797219,0.000691003591698,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000467927322799,0.000524034485087,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000836511790954,0.00072007219521,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00050799463368,0.000707967913901,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000131733719425,0.000810201227847,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242745744971,0.000590761536026,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000626274505923,0.000604069647414,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000688974534173,0.000783667115599,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00107741425963,0.000719365770499,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102045583852,0.000574719316926,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000942851930042,0.000740932239971,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000280157022661,0.000722821178694,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00122299646342,0.00065146751834,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000215608318302,0.000689678099151,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000725972645319,0.00074018415307,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000263024972689,0.00069003419569,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000678907053177,0.000678634027348,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000811465406273,0.000662605934573,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00140494970764,0.00056227149396,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000288053341851,0.00073919340101,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00126689574186,0.000689044549118,0.0,0.0
