Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
19	6620	6.34	21	26	35	18.5	43.3	38.5
18	3130	5.63	68	28	44	69.6	40.1	40.2
17	831	4.49	37	22	35	36	20.5	43.3
16	238	4.52	51	17	33	50.1	15.5	35.6
15	69	2.94	26	62	59	24.2	63.9	57.2
14	14	2.85	35	48	38	36.3	48.6	38.2
13	13	3.03	66	41	27	66.3	41	27.1
12	10	2.81	51	25	13	52	24.8	13.8
11	10	2.74	54	26	27	53.9	26.2	27.3
10	7	2.57	57	20	52	56.6	20	51.5
9	7	2.54	56	22	47	55.7	21.7	47.6
8	6	3.28	25	76	24	25.3	75.9	23.5
7	2	2.36	60	46	46	60	46.5	46
6	2	2.38	49	47	32	49	47	31.5
5	2	2.46	50	23	18	50.5	23	18
4	2	2.34	21	65	62	21	64.5	62
3	1	2.55	77	34	42	77	34	42
2	1	2.32	30	64	27	30	64	27
1	1	2.36	31	41	63	31	41	63
