Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
43	36970	8.44	26	38	28	40	34.4	39.3
42	636	4.99	75	55	62	71.3	56.8	61.5
41	147	3.35	52	25	14	54	26.2	14.3
40	113	3.47	64	47	59	63.7	46	60.7
39	78	3.67	32	64	17	30.8	62.8	16.1
38	70	3.38	40	24	16	39.7	24.6	15.9
37	70	3.63	55	42	15	54.9	41.9	14.3
36	59	4.56	62	79	28	61.8	79.5	28.5
35	45	2.87	64	67	51	65.3	66.1	50.8
34	42	3.76	25	76	24	24.8	75.5	21.5
33	36	3.16	42	69	35	42.9	68.7	35.2
32	34	3.17	46	42	18	45.9	42.7	17.6
31	32	3.03	29	81	29	30.2	80.6	29.7
30	23	2.85	39	86	29	41.5	86	28.3
29	14	2.73	40	20	58	40	20.1	58.4
28	13	2.6	37	42	15	36.9	42.1	14.7
27	12	2.56	58	61	64	59	60.6	64.3
26	11	2.51	44	95	32	43.2	94.1	32.5
25	11	2.52	18	84	42	18.8	83.5	41.8
24	10	2.49	46	33	15	46.5	34	17.1
23	9	2.98	47	90	31	47.2	90.3	31.5
22	7	2.51	43	96	29	43.2	95.6	29.4
21	4	2.44	63	58	73	63.5	58.5	73
20	4	2.82	76	67	57	76	66.5	56.5
19	3	2.61	68	71	25	68	70.7	24.7
18	3	2.65	24	54	73	24	53	73
17	3	2.55	74	53	52	74.3	53	51.7
16	3	2.41	78	58	31	78.7	58	30
15	2	2.36	40	49	28	40.5	49	28
14	2	2.63	36	100	49	35.5	100	49
13	2	3.35	77	71	49	77	71	49.5
12	2	2.6	73	81	46	73	81.5	45.5
11	2	2.5	75	79	45	75	78.5	45
10	2	2.35	50	21	60	50	21	60.5
9	1	2.41	74	66	61	74	66	61
8	1	2.4	64	47	74	64	47	74
7	1	2.32	75	60	60	75	60	60
6	1	2.34	68	73	48	68	73	48
5	1	2.65	52	99	45	52	99	45
4	1	2.42	25	48	74	25	48	74
3	1	2.44	47	80	30	47	80	30
2	1	2.32	42	91	31	42	91	31
1	1	2.52	75	75	50	75	75	50
