Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
49	22113	7.85	27	38	27	43.9	25.7	36.8
48	5040	6.01	21	54	66	27.9	56.7	63.7
47	3054	5.65	72	52	64	67	54.9	63
46	1708	6.06	55	48	37	54	59.3	36.3
45	977	6.34	35	49	37	34.5	52	35.8
44	280	3.93	33	68	35	33.3	69.3	35.9
43	209	4.35	58	80	30	59.4	80.8	29.4
42	29	3.38	72	81	47	70.8	81.4	46
41	23	2.5	34	58	37	33.7	57.2	37
40	16	3.26	55	99	44	54.6	98.7	44.6
39	14	2.42	40	25	17	40.4	24.3	16.2
38	11	2.54	50	62	70	49.9	62	70.5
37	11	2.43	27	42	62	27	41.7	62.3
36	11	2.59	69	54	48	68.9	53.8	48.3
35	8	2.31	30	71	39	29.9	71.3	39.4
34	8	2.66	66	78	43	65.9	78.2	43.1
33	7	2.21	46	45	20	45.6	45.4	19.4
32	6	2.2	41	20	59	40.7	20.3	58.5
31	6	2.3	29	80	28	29.5	79.8	28.3
30	6	2.29	38	49	61	38	48.8	61
29	5	2.1	52	56	58	51.6	57	57.8
28	5	2.26	72	78	51	71.6	78.8	50.8
27	5	2.28	63	60	73	62.8	59.6	73
26	5	2.12	50	44	64	50.6	43	64.8
25	3	2.09	19	34	25	18.7	33.7	25
24	3	2.16	44	85	29	44.7	85.3	29
23	3	2.18	35	57	26	34.7	57.7	26
22	2	2.1	41	80	27	41	80	27.5
21	2	2.06	61	51	47	61	51.5	47
20	2	2.2	43	86	27	43	85.5	27
19	2	2.08	30	56	41	29.5	56	41
18	2	2.2	39	41	41	39	41	41.5
17	2	2.64	53	89	27	52.5	89	27
16	2	2.36	32	81	28	32	81	28.5
15	2	2.27	72	60	45	72	60.5	45
14	1	2.09	50	46	63	50	46	63
13	1	2.02	48	50	64	48	50	64
12	1	2	50	49	62	50	49	62
11	1	2.09	38	64	71	38	64	71
10	1	2.05	52	55	60	52	55	60
9	1	2.25	29	58	27	29	58	27
8	1	2.15	27	59	46	27	59	46
7	1	2.08	52	87	27	52	87	27
6	1	2.02	51	37	43	51	37	43
5	1	2.36	57	47	76	57	47	76
4	1	2.23	51	90	33	51	90	33
3	1	2.04	46	88	30	46	88	30
2	1	2.03	45	78	29	45	78	29
1	1	2.05	62	57	74	62	57	74
