Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
46	43064	13	27	38	27	41.7	35.1	41
45	5179	7.81	72	52	64	67	55.6	62.2
44	216	3.64	53	89	27	45.7	85.3	29
43	178	4.6	72	81	47	69.7	80.3	45.9
42	57	3.35	40	25	17	39.7	24.6	15.6
41	51	3.57	69	54	48	69	53.8	47.9
40	50	3.06	46	45	20	46	45	19.5
39	42	2.77	53	21	59	52	20.4	59.8
38	35	4.45	55	99	44	54.1	98.9	44.6
37	34	2.99	27	59	46	25.3	56.5	47.1
36	23	2.53	56	41	15	56.3	41.4	15
35	20	2.82	51	37	43	50.7	36.9	43.1
34	19	2.65	52	26	16	51.9	25.5	15.7
33	16	2.53	36	87	31	35.5	86.1	31.6
32	15	2.23	54	33	39	52.9	32.9	38.5
31	13	2.64	30	70	22	30.5	70.1	22.5
30	7	2.69	56	83	63	56.2	83.5	63.3
29	6	2.36	72	64	34	72.5	64.3	33.3
28	6	2.23	52	79	38	52.3	79.2	37.3
27	5	2.31	73	76	55	72.6	76.2	54.6
26	4	2.51	50	101	41	49.7	101	42.2
25	3	2.17	77	61	35	77	60.7	34.7
24	2	2.15	45	28	23	44.5	28	23
23	2	2.05	32	63	14	32	62.5	14
22	2	2.67	33	63	72	33	63.5	72
21	2	2.08	55	87	27	55	87	26.5
20	2	2.17	51	94	58	51	94	58.5
19	1	2.03	26	76	20	26	76	20
18	1	2.32	67	80	59	67	80	59
17	1	2.21	52	92	59	52	92	59
16	1	2.14	53	88	61	53	88	61
15	1	2	12	63	51	12	63	51
14	1	2.24	35	99	49	35	99	49
13	1	2.09	22	92	47	22	92	47
12	1	2.48	32	100	45	32	100	45
11	1	2.03	70	87	45	70	87	45
10	1	2.06	66	70	21	66	70	21
9	1	2	65	67	22	65	67	22
8	1	2.01	47	48	25	47	48	25
7	1	2.02	60	77	41	60	77	41
6	1	2.02	13	61	41	13	61	41
5	1	2	77	55	37	77	55	37
4	1	2.1	44	49	29	44	49	29
3	1	2.04	51	64	28	51	64	28
2	1	2.02	44	64	27	44	64	27
1	1	2.19	76	62	43	76	62	43
