Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
44	25232	11.6	21	26	36	39.7	39.4	39.3
43	826	4.85	25	64	59	23	64.7	58.3
42	703	4.77	33	41	61	30.4	37.9	64.1
41	598	4.72	52	23	15	52.7	25.8	13.8
40	512	5.74	37	49	39	42.5	48.4	35.6
39	159	3.93	46	34	18	46.9	33.9	16.8
38	141	4.05	61	40	64	60.9	40.4	63.4
37	128	3.61	20	80	40	18.4	79.4	40.3
36	117	4.1	55	41	13	56.9	42	14
35	85	3.62	42	38	64	42.2	35.9	62.5
34	56	3.11	12	52	56	13.9	54.1	56
33	36	3.79	26	76	24	27	75.3	22.8
32	34	3.63	42	45	21	42.2	45.4	21.1
31	26	3.26	37	28	26	37.3	27.5	24.9
30	23	2.85	36	43	14	36.7	41.9	14.4
29	22	3.08	48	43	17	47.3	43.2	16.6
28	22	2.77	56	41	32	57.3	38.6	33.1
27	20	3.48	52	52	55	51.9	52.1	55.3
26	16	2.93	28	64	17	27.8	62.8	17.2
25	14	2.88	71	76	23	70.5	75.7	23.4
24	12	2.65	58	35	69	58.6	35.7	69.1
23	11	3.09	20	69	15	20.5	69	15.5
22	8	2.66	15	77	47	15.7	76.5	47.2
21	8	2.91	64	43	11	63.5	43.3	11.5
20	6	2.6	71	29	24	71.3	29.3	24.5
19	5	2.76	40	49	27	40.4	49.2	26.6
18	5	2.67	65	60	62	65.2	59.8	62
17	3	2.38	41	89	56	41.3	89	56.3
16	3	2.4	24	74	17	24.3	75	17
15	2	2.58	34	59	29	33.5	59	29.5
14	2	2.45	58	57	27	58	57.5	27
13	2	2.32	45	37	61	45	37.5	61
12	2	2.8	40	88	54	40.5	88	54
11	1	2.33	32	43	10	32	43	10
10	1	2.36	47	42	11	47	42	11
9	1	2.38	41	39	13	41	39	13
8	1	2.31	69	40	15	69	40	15
7	1	2.34	20	48	53	20	48	53
6	1	2.51	64	45	22	64	45	22
5	1	2.33	58	65	24	58	65	24
4	1	2.35	59	32	27	59	32	27
3	1	2.39	45	97	30	45	97	30
2	1	2.47	79	64	28	79	64	28
1	1	2.34	55	26	22	55	26	22
