Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
59	47389	13.8	26	38	28	40	35.6	39.7
58	1503	6.41	75	55	62	70.4	57.3	61.9
57	308	4.37	52	25	14	54.3	26.4	14.2
56	300	3.75	64	67	51	66.9	68.3	50.1
55	296	3.89	47	90	31	43.4	90	29.9
54	173	4.12	42	69	35	43.8	68.3	35.3
53	163	4.4	40	24	16	39.2	24.9	15.5
52	153	4.71	55	42	15	54.9	41.7	13.8
51	148	4.14	46	42	18	45.8	43.6	18.2
50	142	5.87	62	79	28	61.2	79.9	29
49	69	3.3	18	84	42	18.2	83.1	42
48	68	3.41	37	42	15	36.8	41.7	14.3
47	62	3.26	46	33	15	46.4	34.4	17
46	62	3.95	29	81	29	30.3	80.4	30
45	37	3.01	50	57	40	50	56	40
44	23	3.4	73	81	46	73.9	79.9	44.9
43	19	3.2	47	80	30	46.7	80.8	29.4
42	17	2.98	64	39	7	64	39.7	7.46
41	14	2.79	44	51	64	43.4	51.2	64.4
40	11	3.69	76	67	57	75.8	66.1	56.5
39	10	2.61	63	52	66	63.5	52.5	66.5
38	8	2.9	42	43	67	41.9	43.1	66.6
37	8	2.78	43	64	66	43.4	63.9	66.2
36	8	4.36	77	71	49	77	71	49.3
35	7	3.47	52	99	45	52	99.4	45.1
34	7	3.3	75	75	50	75.3	74.7	50.3
33	7	2.75	69	51	52	69.1	50.7	52.4
32	6	2.68	51	37	44	50.5	37.7	43.7
31	6	3.44	36	100	49	36.1	99.9	48.8
30	5	2.7	44	78	27	43.8	77.4	27.4
29	4	2.82	41	101	44	40.8	101	43.8
28	4	2.46	38	40	41	38	39.5	42
27	4	2.84	46	51	5	45.5	51	5.48
26	4	2.57	33	47	15	32.8	47.3	14.5
25	4	2.52	63	46	17	62.8	46.5	17.3
24	3	2.41	52	92	60	51	92	60.3
23	3	2.38	65	57	24	65.3	57.3	23.7
22	3	2.42	64	60	23	63.3	60	23.3
21	3	2.86	54	90	61	53.4	89.7	61
20	2	2.47	61	70	22	61	70.5	22
19	2	2.41	66	66	22	66	66	22.5
18	2	2.92	56	99	45	56.5	99	45
17	2	2.65	66	44	17	66	44	17.5
16	2	2.38	46	64	30	46	64	29.5
15	2	2.49	47	42	12	47	42.5	12
14	2	2.42	39	56	41	39	55.5	41
13	2	2.59	38	53	59	38	52.5	59
12	2	2.32	75	70	56	74.5	70.5	56.5
11	1	2.33	29	35	74	29	35	74
10	1	2.75	70	78	58	70	78	58
9	1	2.33	21	50	54	21	50	54
8	1	2.41	76	64	52	76	64	52
7	1	2.31	51	78	32	51	78	32
6	1	2.36	35	72	28	35	72	28
5	1	2.33	38	81	26	38	81	26
4	1	2.37	45	27	23	45	27	23
3	1	2.49	36	62	22	36	62	22
2	1	2.52	25	74	15	25	74	15
1	1	2.31	28	52	70	28	52	70
