Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
35	16746	6.47	21	27	35	38.1	40.2	39.6
34	337	3.23	25	64	59	22.9	63.8	59.2
33	298	3.17	33	41	61	30.7	37.9	63.8
32	216	3.14	52	23	15	54.5	26	13.5
31	79	3.81	37	49	39	36.3	48.8	38.5
30	68	3.26	49	47	32	50.4	47.8	34.4
29	57	2.82	54	27	28	52.9	26.4	26.2
28	47	2.71	67	44	25	66.4	42.2	26.4
27	44	2.83	42	47	33	42.1	48	33.8
26	39	2.58	46	34	18	46.6	33.7	16.9
25	32	2.35	20	80	40	18.4	79.5	40
24	24	2.7	55	41	13	55.3	40.3	13.2
23	23	2.67	61	40	64	61.1	39.8	64.2
22	12	2.7	51	18	55	50.7	18.1	54.8
21	7	2.37	42	45	21	42.1	45.4	21
20	5	2.36	42	38	64	41.2	38	63.6
19	5	2.48	26	76	24	25.6	76	24.2
18	5	2.27	44	25	17	44	25.4	17.8
17	4	2.33	40	26	29	39.8	26	29
16	4	2.21	28	75	23	28	75.5	22.5
15	4	2.23	19	72	22	19	72	22
14	3	2.42	54	27	32	54	27.3	31.7
13	3	2.36	34	51	35	33.7	51	34.7
12	3	2.26	52	52	55	52	51.7	55.3
11	2	2.06	69	25	28	69.5	25	28
10	2	2.03	44	44	32	44	44	32.5
9	1	2.11	42	26	15	42	26	15
8	1	2	54	21	56	54	21	56
7	1	2.11	60	45	15	60	45	15
6	1	2.08	63	46	15	63	46	15
5	1	2.07	81	42	43	81	42	43
4	1	2.08	81	40	38	81	40	38
3	1	2.1	37	28	26	37	28	26
2	1	2.16	19	67	25	19	67	25
1	1	2.05	41	24	14	41	24	14
