,Average of BOLD response for cluster 0,Standard Deviation of BOLD response for cluster 0,Average of BOLD response for cluster 1,Standard Deviation of BOLD response for cluster 1,Average of BOLD response for cluster 2,Standard Deviation of BOLD response for cluster 2,Average of BOLD response for cluster 3,Standard Deviation of BOLD response for cluster 3,Average of BOLD response for cluster 4,Standard Deviation of BOLD response for cluster 4,Average of BOLD response for cluster 5,Standard Deviation of BOLD response for cluster 5
0,-0.000375276028681,0.000856517390465,-0.000404319042839,0.000472358601813,-0.000594053864646,0.000418653698395,0.000349525006196,0.000864456734338,7.69250536516e-05,0.000376370145612,-0.00102668429305,0.000679727472476
1,-0.0022137678455,0.000969428476049,-0.000931486066615,0.000470821290118,-0.00150799816487,0.000385094043433,-0.00230511237988,0.00107282587906,-0.000557421233343,0.000563486774655,-0.00148944735039,0.000645532582735
2,-0.00222448415598,0.000728018452093,-0.00172559809609,0.000608441493743,-0.00115337457441,0.000475488546814,-0.00132089649269,0.00118401714431,-0.000286495296086,0.000550600049888,-0.000455204479447,0.000897114405807
3,-0.00207115837983,0.000728259551974,-0.00166259501655,0.000447930215857,-0.000903779240019,0.000367103799426,-0.0029936653896,0.000870513017577,-0.000544409163431,0.00055715790895,-0.00168958807364,0.000696558495703
4,-0.00131648333813,0.000724638330988,-0.00113030833677,0.00048187459343,-0.00090731170081,0.000388667878825,-0.00119563545912,0.00101936515143,-0.00118226539552,0.000792228978525,-0.00158104838888,0.000778123092648
5,-0.00154936268736,0.000702458914144,-0.000258319830676,0.000477313562911,-0.0008297405335,0.00048314824782,-0.00135844023899,0.000788880298594,-0.00106618777319,0.000579719530837,-0.00160474257425,0.000621270707406
6,8.43127101179e-05,0.000782634697223,-0.000411650153334,0.000566950374338,0.000473864151764,0.000493735105725,-0.0011696727022,0.000931034447469,2.55089200532e-05,0.00055582715528,1.85905239568e-05,0.000828564903443
7,0.000773446004076,0.000960830116353,0.000935372745385,0.000633372705563,0.000645142407777,0.00056816902986,0.000381273078878,0.00117021767681,0.000514017237318,0.000655556296376,0.000504419960201,0.000791483284253
8,0.00140843110153,0.000892361571714,0.000604829648961,0.000425793659548,0.000509585225211,0.000502143193026,0.000997793532905,0.00101881300561,0.000394107027603,0.000540353301845,0.000999038108635,0.000827014173426
9,-0.000113582286221,0.000987683339406,0.000552053524597,0.000509585753333,-9.61969732714e-05,0.000601264814827,0.00063865859518,0.000919857346325,0.000797812239954,0.000556192999671,-1.23851404902e-05,0.000814189421845
10,-0.000402064093568,0.000889077534726,0.00103523234146,0.000447936335359,0.000307994562332,0.000503363453131,-0.000700357615322,0.0010308257021,0.000885752305602,0.000429410301408,0.000125378925842,0.000717223384595
11,0.00138982428629,0.000734050779363,0.00067636527759,0.000651806935236,0.000967998387454,0.000759439411681,-7.74978361243e-05,0.00109232034428,0.000726171932405,0.000480468525428,0.00104201933042,0.000867315566288
12,0.0012089876968,0.000660462850254,0.000509851727699,0.000606518018012,0.000745627819328,0.000472699770384,0.00093667502254,0.00122612673182,0.000362306119702,0.000562473389813,0.000835042374855,0.000854515052797
13,0.000772753609957,0.00111018674178,0.000425927127681,0.000553217873808,0.000516694840538,0.000543333577156,0.00243408126356,0.00139267627975,-0.000202209838687,0.000675165799975,0.000445239853125,0.00092875707816
14,0.000344232944647,0.00116465495809,-0.000113617642889,0.000725095167857,0.000389595038226,0.0006604063423,0.000783810863457,0.00114458426139,-0.000295340776066,0.000736729027246,0.000994040938965,0.00107115509489
15,0.000389261415343,0.000822308300658,-0.000202666683824,0.000694453507284,-0.000126665076882,0.000604067543661,-0.000516777502895,0.000953979302664,2.48728868581e-05,0.000572956447554,0.000695798107367,0.000779336311633
16,-7.14611487567e-05,0.000678946273938,-0.000936164064574,0.00053428176896,-0.000676838747524,0.000573430344641,0.000181711475409,0.000796254452177,-0.000646135906923,0.000419210128176,-0.00037276225434,0.000624571299005
17,0.000801719232446,0.000672079256001,-0.000148828904135,0.000509972255785,0.00031077285218,0.000567418394938,0.000322425275874,0.000836102184958,-4.84706713467e-05,0.000509869194081,0.000397726147638,0.000588455396813
18,-0.000347462567034,0.000700192416599,-3.50764761482e-05,0.000586380829633,-9.61384181682e-06,0.000595559673537,0.000244762260998,0.00102652227126,-0.000394652116017,0.000533286049,-0.000119407771734,0.000668026498079
19,-0.00172139369218,0.000848171656207,-0.00010986563665,0.000577844054374,-0.000900722138998,0.000655177646398,-0.00160584728729,0.00118785151674,-0.00107306413679,0.000531301482341,-0.00140812167753,0.000648533931817
20,-0.000912626438826,0.000625306853751,-5.66994986548e-05,0.000465643884226,1.34332680053e-05,0.000453483734001,-0.00139487622886,0.000874316200021,-0.000379682277773,0.000493859154113,4.06005602694e-05,0.000748448941238
21,0.0025106533179,0.000900916811364,0.00152782852116,0.000516219578471,0.00201046279358,0.000548502634952,0.00174740230233,0.00097265558042,0.00093691054161,0.000459764818684,0.00212117218356,0.000910618772005
22,0.00504624446644,0.00115203672038,0.00283312562037,0.000639825521495,0.00397517607468,0.00071369324634,0.00508791119558,0.00125545533327,0.00233945531342,0.000687083509177,0.00510287809567,0.000929496015966
23,0.00253679596397,0.000842256652348,0.00165342738597,0.000503850486751,0.00139858852975,0.000542107605274,0.00263217283059,0.000882151878288,0.00154850817916,0.000552216770883,0.00235216200454,0.000712420097679
24,0.00198621123129,0.000776827848699,0.000184003057515,0.00047314387143,-1.71904139461e-05,0.000483416618518,0.0018616696492,0.000942497212424,0.000647025573323,0.000648624798938,-1.28603010102e-05,0.000792718418505
25,-0.000620805986012,0.000854927787488,-0.000275404658753,0.000497051091197,-0.00150851318002,0.000578067593766,0.000143439026697,0.00116058197485,8.76706408457e-05,0.000620958801462,-0.00123013547821,0.0010511407384
26,-0.00186026889219,0.000927599973815,-0.000571542954316,0.000418671785703,-0.00134466049465,0.000500875620019,-0.00154439548294,0.000822257839497,-0.00072435355543,0.000370557243277,-0.00210732061808,0.000622419195928
27,-0.00137188533386,0.000827584987293,-0.000704629668871,0.000549315098947,-0.000919332914275,0.000554026234689,-0.00177995077993,0.00106696932355,-0.000896150346365,0.000520754990497,-0.00166032848415,0.000722478305782
