Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
35	22192	11.3	17	30	39	37.5	38.9	39.3
34	508	4.55	26	62	59	23.3	64.6	57.8
33	291	4.42	35	48	38	41.3	47.9	35.5
32	283	4.37	51	25	13	52.7	24.5	15.5
31	270	3.72	31	41	63	30.7	38.5	63.7
30	128	4.68	66	41	27	66.2	40.2	27.4
29	113	3.52	47	33	15	46.7	33.8	16.5
28	61	3.36	43	33	58	42.6	33.6	58.3
27	52	2.95	12	54	57	12.1	54.4	57
26	45	5.06	25	76	24	24.8	75.2	23.9
25	31	2.88	24	70	47	22.6	71	49.3
24	27	2.93	55	42	13	54.8	41.8	12.9
23	26	3.07	40	87	55	40.9	88.5	54.5
22	26	2.99	17	80	41	17.3	80.5	40.8
21	26	3.36	44	96	30	43.7	95.4	30.3
20	20	2.88	59	36	34	58.4	36.1	33.2
19	16	2.69	48	38	59	47.1	38.3	60.1
18	10	2.92	44	26	18	44.1	25.8	18.2
17	10	2.73	42	95	50	42.5	94.6	50.6
16	9	3.05	13	53	65	13.1	52.4	64.5
15	6	2.44	66	26	51	65.5	26.3	51.3
14	5	2.98	50	14	51	50.2	14.4	50.6
13	4	2.52	59	24	32	59.7	23.8	32
12	4	2.44	64	23	53	64	23	53.2
11	4	2.68	17	55	54	16.3	55	53.8
10	3	2.37	41	24	15	40.7	24	14.3
9	3	2.64	17	51	58	17	51	58
8	3	2.58	71	29	24	71	29.3	24.3
7	3	2.42	60	31	27	59.7	30.7	27.3
6	3	2.44	58	20	25	57.7	19.3	25
5	2	2.59	43	92	46	43	92	45.5
4	2	2.45	16	32	28	16	31.5	28
3	1	2.33	37	27	26	37	27	26
2	1	2.39	56	29	16	56	29	16
1	1	2.34	66	67	26	66	67	26
