Cluster Index	Voxels	MAX	MAX X (vox)	MAX Y (vox)	MAX Z (vox)	COG X (vox)	COG Y (vox)	COG Z (vox)
46	65832	14.2	26	38	28	41.9	38	39
45	475	5.49	44	89	31	44.4	88.2	29.9
44	269	6.74	62	80	28	61.7	80	28.5
43	125	3.99	30	81	28	29.2	80.8	29.3
42	107	3.34	43	64	66	42.6	64.8	63.7
41	96	3.46	42	51	63	43.1	52	64.7
40	84	3.64	72	81	47	71.8	80.6	45
39	83	3.66	38	53	59	38.2	54.4	58.3
38	68	3.9	41	42	66	40.9	42	66.4
37	43	2.84	43	37	45	44.2	37.3	45
36	40	2.9	56	71	36	56	70.3	36.2
35	34	2.81	52	52	55	52	52.2	55.7
34	26	3.36	42	55	17	41.8	54.4	17.2
33	25	3.45	52	99	45	53.1	99.2	45.2
32	21	2.86	65	47	74	65.7	47.7	73.2
31	15	2.8	51	37	44	50.8	37.5	43.9
30	15	2.58	49	43	65	49.2	43	65.5
29	12	3.37	45	51	5	44.6	51.2	6.2
28	11	3.39	74	75	51	75.9	72.6	50.1
27	9	2.54	56	55	20	55.4	56.1	20.1
26	4	2.1	51	78	33	51.3	78.5	32.8
25	4	2.62	33	82	28	33	82.3	27.7
24	3	2.42	47	98	51	46.1	98	51
23	3	2.77	42	100	44	42	99.7	43.4
22	3	2.06	74	74	43	74	74.3	43.3
21	3	2.23	38	66	29	38.3	66.3	29.3
20	2	2.09	38	39	42	38	39.5	41.5
19	2	2.23	56	50	70	56	50	70.5
18	2	2.61	28	45	14	28	45.4	14
17	2	2.11	32	74	18	31.5	74	18
16	2	2.35	52	92	60	51.5	92	60
15	1	2.31	31	25	69	31	25	69
14	1	2.47	67	64	68	67	64	68
13	1	2.09	64	72	20	64	72	20
12	1	2.1	36	72	28	36	72	28
11	1	2.08	15	73	57	15	73	57
10	1	2.37	15	77	54	15	77	54
9	1	2	42	62	31	42	62	31
8	1	2.12	69	84	52	69	84	52
7	1	2.02	41	62	33	41	62	33
6	1	2.03	36	40	38	36	40	38
5	1	2.07	38	101	45	38	101	45
4	1	2.07	30	100	45	30	100	45
3	1	2.1	19	89	45	19	89	45
2	1	2.86	29	99	43	29	99	43
1	1	2.18	25	68	70	25	68	70
